gold_zeichen,hyp_zeichen,ebene,gesamt,gelegenheiten,anteil,anthropic_claude-haiku-4-5-20251001,anthropic_claude-opus-5,anthropic_claude-sonnet-5,deepseek-ocr_3b,gemma4_e4b,glm-ocr_bf16,google_gemini-3-5-flash,maternion_lightonocr-2_1b,minicpm-v4.5_8b,openai_gpt-5-6-sol,qwen3-vl_4b-instruct,qwen3-vl_8b-instruct,qwen3.5_4b
l,f,graphemisch,1,951.0,0.0011,0,0,0,0,0,0,0,0,1,0,0,0,0
k,l,graphemisch,1,367.0,0.0027,0,0,0,0,0,1,0,0,0,0,0,0,0
i,/,graphemisch,1,1489.0,0.0007,0,0,0,0,0,0,0,1,0,0,0,0,0
h,r,graphemisch,1,687.0,0.0015,0,0,0,0,0,0,0,0,1,0,0,0,0
e,t,graphemisch,1,2771.0,0.0004,0,0,0,0,0,0,0,0,0,0,1,0,0
b,ß,graphemisch,1,340.0,0.0029,0,0,0,0,0,0,0,0,0,0,1,0,0
W, ,Segmentierung,1,84.0,0.0119,0,0,0,1,0,0,0,0,0,0,0,0,0
e,n,graphemisch,1,2771.0,0.0004,0,0,0,1,0,0,0,0,0,0,0,0,0
c,ä,graphemisch,1,509.0,0.002,0,0,0,0,0,0,0,0,1,0,0,0,0
e,ė,graphemisch,1,2771.0,0.0004,0,0,0,0,0,0,0,0,0,1,0,0,0
i,²,graphemisch,1,1489.0,0.0007,0,0,0,0,0,0,0,0,0,0,0,1,0
i,d,graphemisch,1,1489.0,0.0007,0,0,0,1,0,0,0,0,0,0,0,0,0
f,F,graphemisch,1,423.0,0.0024,0,0,0,1,0,0,0,0,0,0,0,0,0
g,∅,graphemisch,1,578.0,0.0017,0,0,0,0,1,0,0,0,0,0,0,0,0
i,D,graphemisch,1,1489.0,0.0007,0,0,0,0,0,1,0,0,0,0,0,0,0
n,s,graphemisch,1,2033.0,0.0005,0,0,0,0,0,0,0,0,0,0,1,0,0
o,ö,graphemisch,1,835.0,0.0012,0,0,0,0,0,0,0,0,1,0,0,0,0
k, ,Segmentierung,1,367.0,0.0027,0,0,0,1,0,0,0,0,0,0,0,0,0
t,c,graphemisch,1,1172.0,0.0009,0,0,0,0,0,0,0,0,0,0,1,0,0
s,l,graphemisch,1,1161.0,0.0009,0,0,0,1,0,0,0,0,0,0,0,0,0
s,n,graphemisch,1,1161.0,0.0009,0,0,0,1,0,0,0,0,0,0,0,0,0
s,r,graphemisch,1,1161.0,0.0009,0,0,0,1,0,0,0,0,0,0,0,0,0
r,R,graphemisch,1,1817.0,0.0006,0,0,0,0,0,0,0,0,0,0,0,1,0
p,∅,graphemisch,1,134.0,0.0075,0,0,0,0,1,0,0,0,0,0,0,0,0
o,a,graphemisch,1,835.0,0.0012,0,0,0,0,1,0,0,0,0,0,0,0,0
z,s,graphemisch,1,220.0,0.0045,0,0,0,1,0,0,0,0,0,0,0,0,0
u,m,graphemisch,1,1042.0,0.001,0,0,0,0,0,0,0,0,1,0,0,0,0
t,s,graphemisch,1,1172.0,0.0009,0,0,0,0,1,0,0,0,0,0,0,0,0
t,n,graphemisch,1,1172.0,0.0009,0,0,0,0,0,0,0,0,1,0,0,0,0
t,i,graphemisch,1,1172.0,0.0009,0,0,0,0,0,0,0,0,1,0,0,0,0
w,m,graphemisch,1,183.0,0.0055,0,0,0,1,0,0,0,0,0,0,0,0,0
y,i,graphemisch,1,25.0,0.04,0,0,0,0,0,0,0,0,0,0,1,0,0
z,g,graphemisch,1,220.0,0.0045,0,0,0,0,0,0,0,0,1,0,0,0,0
z,i,graphemisch,1,220.0,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,1
ė,ē,graphemisch,1,36.0,0.0278,0,0,0,0,1,0,0,0,0,0,0,0,0
ė,e,graphemisch,1,36.0,0.0278,0,0,0,0,0,0,0,0,0,1,0,0,0
ü,i,graphemisch,1,266.0,0.0038,0,0,0,1,0,0,0,0,0,0,0,0,0
ä,c,graphemisch,1,156.0,0.0064,0,0,0,0,0,0,0,0,0,0,0,1,0
Ö,S,graphemisch,1,24.0,0.0417,0,0,0,0,0,0,0,0,1,0,0,0,0
ų,u,graphemisch,1,12.0,0.0833,0,0,0,1,0,0,0,0,0,0,0,0,0
—,–,graphemisch,1,12.0,0.0833,0,0,0,0,0,0,0,0,0,0,1,0,0
“,∅,graphemisch,1,29.0,0.0345,0,0,0,0,1,0,0,0,0,0,0,0,0
∅,A,graphemisch,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0
∅,",",graphemisch,1,,,0,0,0,0,0,1,0,0,0,0,0,0,0
„,-,graphemisch,1,29.0,0.0345,0,0,0,0,0,0,1,0,0,0,0,0,0
„,",",graphemisch,1,29.0,0.0345,0,0,0,0,0,1,0,0,0,0,0,0,0
š,s,graphemisch,1,13.0,0.0769,0,0,0,1,0,0,0,0,0,0,0,0,0
∅,M,graphemisch,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0
∅,m,graphemisch,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0
∅,¹,graphemisch,1,,,0,0,0,0,0,0,0,0,0,0,0,1,0
